pago_id,monto,fecha,uid,subs_id,pid,pro_id
6583,3100,2021-10-07,40,22.0,,
7366,6400,2021-02-08,37,106.0,,
8509,7100,2020-08-09,19,221.0,,
8079,7900,2021-05-28,34,178.0,,
6914,4500,2020-12-24,108,53.0,,
8633,3700,2021-05-13,28,234.0,,
9826,3700,2020-08-18,119,357.0,,
10039,7400,2021-09-16,1,379.0,,
9605,5000,2021-07-15,8,335.0,,
7283,3700,2021-05-09,92,97.0,,
10367,7500,2021-11-20,48,,49.0,16.0
10400,8000,2021-08-01,35,,35.0,7.0
6603,3200,2021-06-06,146,24.0,,
8826,7900,2020-12-23,16,255.0,,
8876,7400,2021-01-03,56,259.0,,
8866,4000,2021-11-07,56,258.0,,
9492,7900,2021-01-25,63,324.0,,
7033,5000,2021-07-15,10,65.0,,
6988,3100,2020-11-17,42,62.0,,
10521,6000,2021-07-17,57,,99.0,13.0
6973,3500,2021-01-29,60,60.0,,
10348,4400,2021-12-13,90,417.0,,
7453,4000,2020-11-17,76,116.0,,
10028,3100,2021-08-12,1,377.0,,
8680,3700,2021-11-16,54,239.0,,
10665,7500,2021-04-19,5,,44.0,13.0
8878,7400,2021-03-03,56,259.0,,
10449,1000,2021-02-17,47,,64.0,7.0
6978,3500,2021-06-28,60,60.0,,
8315,2800,2021-12-01,15,200.0,,
10453,1000,2021-12-22,62,,11.0,17.0
9938,3900,2021-01-14,73,369.0,,
9175,4000,2021-07-01,26,291.0,,
6681,3700,2021-07-25,32,32.0,,
6753,3900,2021-06-22,62,38.0,,
10219,7400,2021-01-05,115,409.0,,
9684,3900,2021-09-25,17,342.0,,
9248,6500,2021-12-29,49,298.0,,
8860,4000,2021-05-07,56,258.0,,
7744,4500,2020-09-04,36,144.0,,
9790,7100,2021-01-20,119,352.0,,
7249,4500,2021-09-15,70,90.0,,
8890,4500,2021-05-08,3,260.0,,
10626,6000,2021-03-11,46,,20.0,10.0
7222,7000,2020-05-15,70,89.0,,
6454,3900,2021-06-10,141,7.0,,
6832,3700,2021-09-11,105,45.0,,
6389,4000,2020-10-21,48,3.0,,
6714,7100,2020-10-15,47,35.0,,
6970,3500,2020-10-29,60,60.0,,
9834,3700,2021-04-18,119,357.0,,
8244,7900,2021-12-06,13,193.0,,
6833,3700,2021-10-11,105,45.0,,
9934,3900,2020-09-14,73,369.0,,
8217,6400,2021-12-30,13,191.0,,
7797,7400,2021-12-10,75,149.0,,
9490,7900,2020-11-25,63,324.0,,
8746,6500,2021-01-15,16,247.0,,
7898,3700,2021-10-17,58,158.0,,
8561,3200,2021-06-15,97,228.0,,
8368,3500,2021-04-13,22,206.0,,
8709,3700,2021-04-02,50,244.0,,
9610,3700,2021-03-16,8,336.0,,
7794,3200,2020-10-20,75,148.0,,
10454,6000,2021-06-02,62,,81.0,5.0
8190,7100,2021-09-11,18,188.0,,
8351,4000,2021-06-29,22,205.0,,
9762,3200,2021-11-30,52,350.0,,
6747,4400,2021-07-09,62,37.0,,
7546,4400,2020-11-11,2,124.0,,
9007,6500,2021-07-29,23,271.0,,
9320,4000,2020-10-26,24,305.0,,
8741,6500,2020-08-15,16,247.0,,
10251,3900,2021-03-24,115,411.0,,
9424,5000,2020-12-21,134,320.0,,
8592,3500,2021-04-17,28,230.0,,
7248,4500,2021-08-15,70,90.0,,
7903,3500,2021-09-02,58,159.0,,
10090,5000,2021-02-08,106,389.0,,
8824,7900,2020-10-23,16,255.0,,
6513,6400,2021-03-18,45,13.0,,
6773,7900,2021-10-17,62,40.0,,
10297,4000,2020-09-28,6,415.0,,
8747,6500,2021-02-15,16,247.0,,
9619,3700,2021-12-16,8,336.0,,
6794,6500,2020-10-22,105,42.0,,
6729,6400,2021-03-11,62,36.0,,
6666,6500,2021-06-17,30,29.0,,
8819,2800,2021-11-23,16,254.0,,
7959,4000,2021-11-08,14,166.0,,
9942,3900,2021-05-14,73,369.0,,
9629,3700,2021-12-21,8,337.0,,
10216,7000,2021-09-24,115,408.0,,
9443,7100,2021-04-13,63,321.0,,
9977,3900,2021-12-21,25,372.0,,
10242,5000,2021-07-14,115,410.0,,
9235,2800,2021-08-16,49,297.0,,
9153,3200,2021-08-13,77,287.0,,
8937,7000,2021-12-24,87,263.0,,
7818,7100,2021-09-28,71,151.0,,
10546,7000,2021-11-17,12,,50.0,3.0
10632,8500,2021-11-26,46,,45.0,16.0
8313,2800,2021-10-01,15,200.0,,
6844,2800,2021-02-28,41,46.0,,
8917,7900,2021-09-04,3,262.0,,
9690,6500,2020-08-13,17,343.0,,
9368,6400,2020-12-25,31,311.0,,
9325,4000,2021-03-26,24,305.0,,
6805,6500,2021-09-22,105,42.0,,
8298,7000,2021-12-18,43,199.0,,
9544,3900,2021-01-19,61,329.0,,
7660,4000,2021-04-10,55,136.0,,
7161,7000,2020-07-27,133,82.0,,
10236,5000,2021-01-14,115,410.0,,
9343,6500,2021-01-13,11,307.0,,
6717,7100,2021-01-15,47,35.0,,
6486,4500,2020-12-02,35,11.0,,
10406,5500,2021-09-26,45,,65.0,16.0
8948,7000,2021-04-24,95,265.0,,
10382,1000,2020-11-04,141,,31.0,9.0
6567,3100,2021-03-26,59,20.0,,
9252,7900,2021-10-14,65,299.0,,
8896,4500,2021-11-08,3,260.0,,
9078,7100,2021-05-17,46,279.0,,
10261,3700,2020-06-15,115,412.0,,
7967,3900,2021-04-21,14,167.0,,
7606,5000,2021-05-01,68,130.0,,
7884,4500,2021-04-09,57,157.0,,
8726,4500,2020-11-03,50,246.0,,
7118,3900,2021-10-23,44,76.0,,
7235,7000,2021-06-15,70,89.0,,
7492,7000,2020-10-28,2,120.0,,
9347,6500,2021-05-13,11,307.0,,
7088,7000,2021-10-22,44,71.0,,
9594,3700,2021-05-23,61,332.0,,
10415,3000,2020-12-31,82,,38.0,18.0
7582,7400,2021-12-08,39,126.0,,
9008,6500,2021-08-29,23,271.0,,
9460,3900,2021-01-13,63,322.0,,
9741,6500,2020-10-30,52,349.0,,
8851,4000,2020-08-07,56,258.0,,
6961,4000,2021-09-14,108,58.0,,
6404,3200,2021-04-19,48,4.0,,
9452,3900,2020-05-13,63,322.0,,
9212,3700,2021-11-06,49,293.0,,
9568,6500,2021-11-27,61,330.0,,
6995,2800,2020-12-20,10,63.0,,
10276,3700,2021-06-09,115,413.0,,
9729,3900,2021-11-28,130,346.0,,
8779,5000,2021-12-01,16,249.0,,
8407,3100,2021-11-29,22,211.0,,
10290,4000,2021-09-26,115,414.0,,
8171,4400,2021-05-24,18,187.0,,
9578,3700,2021-07-04,61,331.0,,
10522,4500,2021-11-23,57,,75.0,7.0
9263,4000,2021-08-03,65,300.0,,
7193,7100,2021-07-13,133,85.0,,
8733,4500,2021-06-03,50,246.0,,
8433,7000,2021-07-12,72,215.0,,
7285,3700,2021-07-09,92,97.0,,
7391,3700,2021-08-22,37,109.0,,
7101,7400,2021-09-18,44,74.0,,
7264,7400,2021-05-30,92,95.0,,
8146,3700,2021-09-09,18,185.0,,
9194,3500,2021-12-13,26,292.0,,
8238,7900,2021-06-06,13,193.0,,
9525,4000,2020-11-16,61,328.0,,
10132,4500,2021-02-22,4,400.0,,
6563,3100,2020-11-26,59,20.0,,
8684,7400,2021-05-30,54,241.0,,
6439,3700,2021-10-13,141,6.0,,
8863,4000,2021-08-07,56,258.0,,
9228,3500,2021-06-09,49,296.0,,
10294,4000,2020-06-28,6,415.0,,
9720,3900,2021-02-28,130,346.0,,
10108,3200,2021-07-26,4,397.0,,
9174,3900,2021-11-17,26,290.0,,
7301,3100,2021-07-28,33,99.0,,
10234,5000,2020-11-14,115,410.0,,
9898,7100,2021-08-23,64,364.0,,
9962,3500,2021-12-12,73,371.0,,
6963,7900,2020-07-22,60,59.0,,
10016,4000,2021-09-25,25,376.0,,
6634,6500,2021-05-22,146,26.0,,
7607,5000,2021-06-01,68,130.0,,
9262,4000,2021-07-03,65,300.0,,
9401,3100,2021-07-09,31,315.0,,
7495,7000,2021-01-28,2,120.0,,
9397,3100,2021-03-09,31,315.0,,
8408,3100,2021-12-29,22,211.0,,
10051,7400,2020-11-09,142,384.0,,
7152,7000,2021-09-27,67,80.0,,
7648,6500,2021-03-22,74,135.0,,
10366,9500,2021-12-22,48,,97.0,13.0
8017,3700,2021-08-22,132,172.0,,
7700,3700,2021-07-13,55,139.0,,
8440,7900,2020-07-09,72,216.0,,
10067,3900,2021-07-28,142,386.0,,
10422,9500,2021-03-09,59,,97.0,13.0
6709,3900,2021-07-08,47,34.0,,
7382,3500,2021-11-15,37,107.0,,
9650,4000,2020-09-20,5,340.0,,
7442,3100,2021-03-21,76,115.0,,
6645,4000,2020-06-25,9,28.0,,
6451,3900,2021-03-10,141,7.0,,
8438,7000,2021-12-12,72,215.0,,
6494,4500,2021-08-02,35,11.0,,
7049,7400,2021-11-18,66,67.0,,
8701,3700,2020-08-02,50,244.0,,
7240,7000,2021-11-15,70,89.0,,
8922,7000,2020-09-24,87,263.0,,
8165,4400,2020-11-24,18,187.0,,
9854,3200,2021-03-01,119,360.0,,
6947,3200,2021-10-18,108,56.0,,
10200,4000,2021-06-11,115,407.0,,
6723,6400,2020-09-11,62,36.0,,
7675,4400,2021-01-16,55,138.0,,
8936,7000,2021-11-24,87,263.0,,
7613,5000,2021-12-01,68,130.0,,
9237,2800,2021-10-16,49,297.0,,
8469,4000,2021-07-01,72,217.0,,
7588,3700,2021-12-09,39,127.0,,
8989,4000,2021-11-28,23,269.0,,
8308,2800,2021-05-01,15,200.0,,
10006,4500,2021-06-10,25,375.0,,
9446,7100,2021-07-13,63,321.0,,
7578,7400,2021-08-08,39,126.0,,
7399,2800,2020-11-21,37,110.0,,
10491,4000,2021-05-22,69,,83.0,14.0
10315,3200,2020-08-04,6,416.0,,
7599,2800,2021-12-27,68,128.0,,
8384,2800,2021-02-21,22,208.0,,
8740,6500,2020-07-15,16,247.0,,
9365,7100,2021-08-03,11,310.0,,
6707,3900,2021-05-08,47,34.0,,
9039,3700,2021-06-14,23,275.0,,
8818,2800,2021-10-23,16,254.0,,
6579,3100,2021-06-07,40,22.0,,
7124,3700,2020-09-05,44,77.0,,
8527,6500,2021-02-28,122,225.0,,
8647,3100,2021-11-14,54,236.0,,
6387,6500,2021-12-27,48,2.0,,
10444,5500,2021-10-18,32,,65.0,16.0
7778,3900,2021-04-04,75,146.0,,
7807,4000,2021-10-24,71,150.0,,
10556,5000,2021-05-05,13,,5.0,10.0
6614,7000,2021-05-28,146,25.0,,
9249,7900,2021-07-14,65,299.0,,
8883,7400,2021-08-03,56,259.0,,
7057,6500,2021-11-12,66,68.0,,
7857,4000,2021-12-25,57,154.0,,
9689,6500,2020-07-13,17,343.0,,
6892,6500,2021-03-11,41,51.0,,
8556,3500,2021-10-25,97,227.0,,
10567,9500,2021-11-25,53,,5.0,11.0
10029,3100,2021-09-12,1,377.0,,
10232,5000,2020-09-14,115,410.0,,
8637,3700,2021-09-13,28,234.0,,
9427,5000,2021-03-21,134,320.0,,
6662,4000,2021-11-25,9,28.0,,
8111,3700,2021-12-28,21,180.0,,
9574,3700,2021-03-04,61,331.0,,
9425,5000,2021-01-21,134,320.0,,
6578,7100,2021-12-25,40,21.0,,
7662,4000,2021-06-10,55,136.0,,
9407,3900,2021-08-30,134,316.0,,
7856,4000,2021-11-25,57,154.0,,
8842,7900,2021-06-24,56,256.0,,
10575,1000,2021-05-20,72,,93.0,8.0
9462,3900,2021-03-13,63,322.0,,
8465,4000,2021-03-01,72,217.0,,
9426,5000,2021-02-21,134,320.0,,
8555,3500,2021-09-25,97,227.0,,
6842,2800,2020-12-29,41,46.0,,
10681,4500,2021-07-26,130,,41.0,4.0
6674,6500,2021-09-30,32,31.0,,
7563,3100,2021-02-03,39,125.0,,
9361,7100,2021-04-03,11,310.0,,
9918,6500,2021-08-13,73,367.0,,
9048,6500,2021-06-29,23,276.0,,
6589,6500,2020-12-29,40,23.0,,
9731,3900,2021-07-11,52,347.0,,
7476,2800,2021-11-27,76,117.0,,
8597,3500,2021-09-17,28,230.0,,
7020,4000,2021-11-25,10,64.0,,
7343,3200,2021-11-17,33,103.0,,
9133,2800,2020-11-23,77,286.0,,
10004,4500,2021-04-10,25,375.0,,
8154,6400,2021-04-07,18,186.0,,
7633,3700,2021-11-05,74,133.0,,
10102,6500,2020-12-21,106,394.0,,
8791,6500,2021-10-05,16,250.0,,
9774,4000,2021-04-13,123,351.0,,
8617,3100,2021-02-05,28,232.0,,
9514,3100,2021-09-18,63,325.0,,
8121,4000,2021-06-25,21,182.0,,
10111,3900,2020-08-25,4,398.0,,
6827,7900,2021-08-05,105,44.0,,
7005,2800,2021-10-20,10,63.0,,
9631,3100,2020-09-28,5,338.0,,
6678,3700,2021-04-25,32,32.0,,
8147,3700,2021-10-09,18,185.0,,
7893,3700,2021-05-17,58,158.0,,
7770,4000,2021-11-23,36,145.0,,
8274,7100,2021-09-25,43,196.0,,
10061,7400,2021-09-09,142,384.0,,
7815,7100,2021-06-28,71,151.0,,
7054,6500,2021-08-12,66,68.0,,
6577,7100,2021-11-25,40,21.0,,
6785,3700,2021-09-13,105,41.0,,
9106,3500,2021-05-22,77,284.0,,
6588,6500,2020-11-29,40,23.0,,
8180,7100,2020-11-11,18,188.0,,
7914,3700,2020-12-05,58,160.0,,
7379,3500,2021-08-15,37,107.0,,
9435,5000,2021-11-21,134,320.0,,
8770,5000,2021-03-01,16,249.0,,
9798,7100,2021-09-20,119,352.0,,
9963,3900,2020-10-21,25,372.0,,
7102,7400,2021-10-18,44,74.0,,
8199,6500,2021-12-13,13,189.0,,
6467,3200,2021-04-06,141,8.0,,
7457,4000,2021-03-17,76,116.0,,
9815,7400,2021-03-15,119,355.0,,
10587,5000,2020-07-14,19,,8.0,7.0
6733,6400,2021-07-11,62,36.0,,
8946,7000,2021-02-24,95,265.0,,
8672,3700,2021-03-16,54,239.0,,
8840,7900,2021-04-24,56,256.0,,
7990,3700,2021-11-12,14,169.0,,
10464,7000,2021-11-09,105,,35.0,2.0
8007,3200,2021-09-02,14,170.0,,
7568,3100,2021-07-03,39,125.0,,
10736,6000,2020-10-14,115,,42.0,12.0
7081,6400,2021-11-26,44,70.0,,
7757,4500,2021-10-04,36,144.0,,
8011,4400,2021-11-19,132,171.0,,
8853,4000,2020-10-07,56,258.0,,
8222,3900,2020-11-07,13,192.0,,
10203,4000,2021-09-11,115,407.0,,
10471,6500,2021-05-03,41,,26.0,6.0
9096,7900,2021-10-12,77,283.0,,
6885,6500,2020-08-11,41,51.0,,
9461,3900,2021-02-13,63,322.0,,
10161,3100,2021-09-18,38,402.0,,
7556,4400,2021-09-11,2,124.0,,
8387,2800,2021-05-21,22,208.0,,
10317,3200,2020-10-04,6,416.0,,
6868,3900,2020-11-28,41,48.0,,
8754,6500,2021-09-15,16,247.0,,
8423,3200,2021-06-07,72,214.0,,
9972,3900,2021-07-21,25,372.0,,
9671,3900,2020-08-25,17,342.0,,
7269,7400,2021-10-30,92,95.0,,
9700,6500,2021-06-13,17,343.0,,
6766,3500,2021-07-05,62,39.0,,
6923,4500,2021-09-24,108,53.0,,
9090,3700,2020-08-27,46,282.0,,
9059,4400,2020-12-04,46,277.0,,
8552,3500,2021-06-25,97,227.0,,
9961,3500,2021-11-12,73,371.0,,
8068,3700,2021-06-06,12,176.0,,
7687,3700,2020-06-13,55,139.0,,
10401,3000,2020-05-31,45,,68.0,19.0
6397,4000,2021-06-21,48,3.0,,
10231,5000,2020-08-14,115,410.0,,
7155,7000,2021-12-27,67,80.0,,
7432,7400,2021-09-21,76,114.0,,
6409,3200,2021-09-19,48,4.0,,
9231,3500,2021-09-09,49,296.0,,
10266,3700,2020-08-09,115,413.0,,
9773,4000,2021-03-13,123,351.0,,
9592,3700,2021-03-23,61,332.0,,
10298,4000,2020-10-28,6,415.0,,
9656,4000,2021-03-20,5,340.0,,
9949,3900,2021-12-14,73,369.0,,
10568,5000,2021-11-25,53,,84.0,11.0
7126,3700,2020-11-05,44,77.0,,
9635,3100,2021-01-28,5,338.0,,
9457,3900,2020-10-13,63,322.0,,
10365,2800,2021-12-12,90,419.0,,
9886,4400,2021-07-01,64,363.0,,
7799,4000,2021-02-24,71,150.0,,
7108,4500,2021-10-16,44,75.0,,
7150,3700,2021-12-21,67,79.0,,
9171,7000,2021-02-24,26,289.0,,
8474,4000,2021-12-01,72,217.0,,
7123,3700,2020-08-05,44,77.0,,
9978,4000,2020-08-25,25,373.0,,
6789,6500,2020-05-22,105,42.0,,
8018,3700,2021-09-22,132,172.0,,
6743,4400,2021-03-09,62,37.0,,
9993,4000,2021-11-25,25,373.0,,
9384,6500,2021-03-17,31,313.0,,
7820,7100,2021-11-28,71,151.0,,
7924,3700,2021-10-05,58,160.0,,
8533,6500,2021-08-28,122,225.0,,
7111,3900,2021-03-23,44,76.0,,
9694,6500,2020-12-13,17,343.0,,
10254,3900,2021-06-24,115,411.0,,
9019,6400,2021-03-09,23,274.0,,
6673,3700,2021-06-06,30,30.0,,
7748,4500,2021-01-04,36,144.0,,
10179,7100,2021-04-06,93,405.0,,
9296,2800,2021-02-07,24,303.0,,
7755,4500,2021-08-04,36,144.0,,
7389,3700,2021-06-22,37,109.0,,
8168,4400,2021-02-24,18,187.0,,
9333,4000,2021-11-26,24,305.0,,
10619,5000,2021-07-12,87,,42.0,4.0
10455,8500,2021-08-15,62,,60.0,4.0
7316,6400,2021-11-28,33,100.0,,
8008,3200,2021-10-02,14,170.0,,
7372,6400,2021-08-08,37,106.0,,
7668,4000,2021-12-10,55,136.0,,
10687,6000,2020-10-22,52,,95.0,6.0
9801,7100,2021-12-20,119,352.0,,
7289,3700,2021-11-09,92,97.0,,
7208,3500,2020-11-04,70,88.0,,
8053,4400,2021-08-04,12,175.0,,
9230,3500,2021-08-09,49,296.0,,
10011,4500,2021-11-10,25,375.0,,
7868,3100,2020-12-14,57,156.0,,
8832,7900,2021-06-23,16,255.0,,
8253,3200,2021-09-07,13,194.0,,
8715,3700,2021-10-02,50,244.0,,
6763,3500,2021-04-05,62,39.0,,
9319,4000,2020-09-26,24,305.0,,
10227,7400,2021-09-05,115,409.0,,
9849,3500,2021-12-03,119,359.0,,
8162,6400,2021-12-07,18,186.0,,
9144,2800,2021-10-23,77,286.0,,
7281,3700,2021-03-09,92,97.0,,
7359,3700,2021-11-17,33,105.0,,
7345,7400,2021-09-22,33,104.0,,
9556,6500,2020-11-27,61,330.0,,
10398,6500,2021-08-22,35,,5.0,16.0
6661,4000,2021-10-25,9,28.0,,
9932,4400,2021-11-07,73,368.0,,
9816,7400,2021-04-15,119,355.0,,
10054,7400,2021-02-09,142,384.0,,
9642,3100,2021-08-28,5,338.0,,
7244,4500,2021-04-15,70,90.0,,
8859,4000,2021-04-07,56,258.0,,
8703,3700,2020-10-02,50,244.0,,
9783,7100,2020-06-20,119,352.0,,
9985,4000,2021-03-25,25,373.0,,
7605,5000,2021-04-01,68,130.0,,
7632,3700,2021-10-05,74,133.0,,
9463,3900,2021-04-13,63,322.0,,
10516,8000,2021-07-11,36,,75.0,6.0
6473,7100,2021-02-04,35,10.0,,
9013,7900,2021-10-03,23,272.0,,
7327,3700,2021-02-01,33,101.0,,
8705,3700,2020-12-02,50,244.0,,
9755,6500,2021-12-28,52,349.0,,
10286,4000,2021-05-26,115,414.0,,
10524,4000,2021-11-21,57,,101.0,1.0
6626,6500,2020-09-22,146,26.0,,
6818,3900,2021-11-14,105,43.0,,
6873,4500,2021-10-11,41,49.0,,
8599,3500,2021-11-17,28,230.0,,
10335,4400,2020-11-13,90,417.0,,
6741,4400,2021-01-09,62,37.0,,
8198,6500,2021-11-13,13,189.0,,
8184,7100,2021-03-11,18,188.0,,
10452,5500,2021-10-27,62,,54.0,5.0
10533,6500,2021-08-17,20,,51.0,5.0
7309,6400,2021-04-28,33,100.0,,
7275,3700,2020-09-09,92,97.0,,
7518,7900,2021-11-13,2,121.0,,
8422,3200,2021-05-07,72,214.0,,
10721,1000,2021-08-02,4,,31.0,9.0
7196,7100,2021-10-13,133,85.0,,
7509,7900,2021-02-13,2,121.0,,
7109,4500,2021-11-16,44,75.0,,
8300,2800,2020-09-01,15,200.0,,
7771,4000,2021-12-23,36,145.0,,
7751,4500,2021-04-04,36,144.0,,
8993,4000,2020-10-28,23,269.0,,
6899,6500,2021-10-11,41,51.0,,
8805,4500,2021-08-29,16,253.0,,
7683,4400,2021-09-16,55,138.0,,
7792,3200,2020-08-20,75,148.0,,
9077,7100,2021-04-17,46,279.0,,
9736,3900,2021-12-11,52,347.0,,
6862,4000,2021-10-03,41,47.0,,
9660,4000,2021-07-20,5,340.0,,
10218,7000,2021-11-24,115,408.0,,
8945,7000,2021-01-24,95,265.0,,
7664,4000,2021-08-10,55,136.0,,
6834,3700,2021-11-11,105,45.0,,
7962,3900,2020-11-21,14,167.0,,
6932,3700,2021-11-25,108,54.0,,
7530,4500,2021-02-21,2,123.0,,
9055,4400,2020-08-04,46,277.0,,
7214,3500,2021-05-04,70,88.0,,
9777,4000,2021-07-13,123,351.0,,
10272,3700,2021-02-09,115,413.0,,
9555,3900,2021-12-19,61,329.0,,
10440,6500,2021-06-01,30,,53.0,6.0
10327,3200,2021-08-04,6,416.0,,
7528,6400,2021-12-16,2,122.0,,
8745,6500,2020-12-15,16,247.0,,
10602,3000,2021-04-19,28,,99.0,19.0
10550,6500,2021-09-28,21,,75.0,2.0
10407,6000,2020-11-09,45,,79.0,19.0
8331,3100,2021-08-25,15,202.0,,
9304,2800,2021-10-07,24,303.0,,
9197,3700,2020-08-06,49,293.0,,
9465,3900,2021-06-13,63,322.0,,
10104,3200,2021-06-08,106,395.0,,
9582,3700,2021-11-04,61,331.0,,
7720,6500,2021-07-24,36,141.0,,
10722,5000,2021-02-06,4,,100.0,1.0
7529,4500,2021-01-21,2,123.0,,
6376,6500,2021-01-27,48,2.0,,
8208,3700,2021-11-10,13,190.0,,
7260,6500,2020-11-12,92,94.0,,
8534,6500,2021-09-28,122,225.0,,
10553,3000,2021-10-16,21,,62.0,11.0
6609,7000,2020-12-28,146,25.0,,
8982,4000,2021-04-28,23,269.0,,
7037,5000,2021-11-15,10,65.0,,
6426,3100,2021-12-01,48,5.0,,
10122,7100,2021-07-28,4,399.0,,
10253,3900,2021-05-24,115,411.0,,
10560,5500,2021-11-10,43,,74.0,14.0
6541,2800,2021-01-15,82,17.0,,
9579,3700,2021-08-04,61,331.0,,
9282,6500,2021-03-25,24,302.0,,
6429,3700,2020-12-13,141,6.0,,
8654,6500,2021-02-28,54,237.0,,
8014,3700,2021-05-22,132,172.0,,
7827,7900,2021-09-14,71,152.0,,
8638,3700,2021-10-13,28,234.0,,
10502,6500,2021-01-03,51,,72.0,19.0
9061,4400,2021-02-04,46,277.0,,
6945,7900,2021-12-28,108,55.0,,
9621,3700,2021-04-21,8,337.0,,
6415,3100,2021-01-01,48,5.0,,
7983,7100,2021-09-12,14,168.0,,
9481,4500,2021-07-28,63,323.0,,
7593,2800,2021-06-27,68,128.0,,
9265,4000,2021-10-03,65,300.0,,
7839,7100,2021-11-17,57,153.0,,
9682,3900,2021-07-25,17,342.0,,
10308,4000,2021-08-28,6,415.0,,
9612,3700,2021-05-16,8,336.0,,
6765,3500,2021-06-05,62,39.0,,
8875,7400,2020-12-03,56,259.0,,
7972,3900,2021-09-21,14,167.0,,
9535,4000,2021-09-16,61,328.0,,
10518,4000,2021-12-11,75,,83.0,14.0
6711,3900,2021-09-08,47,34.0,,
7576,7400,2021-06-08,39,126.0,,
9779,4000,2021-09-13,123,351.0,,
6692,5000,2021-05-21,32,33.0,,
7407,2800,2021-07-21,37,110.0,,
9825,3700,2021-07-05,119,356.0,,
6595,6500,2021-06-28,40,23.0,,
10330,3200,2021-11-04,6,416.0,,
8367,3500,2021-03-13,22,206.0,,
9922,6500,2021-12-13,73,367.0,,
9653,4000,2020-12-20,5,340.0,,
9940,3900,2021-03-14,73,369.0,,
9051,6500,2021-09-29,23,276.0,,
6683,3700,2021-09-25,32,32.0,,
9685,3900,2021-10-25,17,342.0,,
8777,5000,2021-10-01,16,249.0,,
7009,4000,2020-12-25,10,64.0,,
6400,4000,2021-09-21,48,3.0,,
7332,3700,2021-07-01,33,101.0,,
9545,3900,2021-02-19,61,329.0,,
9483,4500,2021-09-28,63,323.0,,
8543,4000,2021-07-15,122,226.0,,
7294,7900,2021-08-23,80,98.0,,
9925,4400,2021-04-07,73,368.0,,
8614,3100,2020-11-05,28,232.0,,
6912,4500,2020-10-24,108,53.0,,
7560,3100,2020-11-03,39,125.0,,
7616,7900,2021-07-19,74,131.0,,
7790,5000,2021-10-21,75,147.0,,
10551,6500,2021-11-16,21,,13.0,11.0
8357,4000,2021-12-29,22,205.0,,
8127,4000,2021-12-25,21,182.0,,
10472,7000,2021-04-16,41,,77.0,18.0
9832,3700,2021-02-18,119,357.0,,
9623,3700,2021-06-21,8,337.0,,
9103,3500,2021-02-22,77,284.0,,
